Signal,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13
1,0.0,0.12,0.0,0.18181818181818182,0.0,0.25,0.0,0.0,0.5,0.0,0.2,0.0,0.2,0.0
2,0.07692307692307693,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0
3,0.0,0.04,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.2,0.0,0.1,0.0
4,0.15384615384615385,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
5,0.0,0.08,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
6,0.0,0.08,0.14285714285714285,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
9,0.0,0.04,0.07142857142857142,0.09090909090909091,0.08333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.1,0.0
11,0.0,0.04,0.07142857142857142,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
12,0.07692307692307693,0.12,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.07692307692307693,0.08,0.07142857142857142,0.09090909090909091,0.08333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
14,0.0,0.12,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3,0.5
15,0.0,0.12,0.0,0.09090909090909091,0.16666666666666666,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.1,0.5
17,0.0,0.04,0.0,0.09090909090909091,0.08333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
31,0.07692307692307693,0.0,0.07142857142857142,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
24,0.07692307692307693,0.04,0.07142857142857142,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
29,0.07692307692307693,0.08,0.0,0.0,0.08333333333333333,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.1,0.5
7,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.1,0.0
23,0.07692307692307693,0.04,0.0,0.18181818181818182,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.1,0.0
25,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.1,0.5
27,0.15384615384615385,0.08,0.07142857142857142,0.09090909090909091,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
30,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.1,0.0
10,0.07692307692307693,0.12,0.21428571428571427,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0
26,0.0,0.04,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
22,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
21,0.0,0.08,0.0,0.0,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.04,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.04,0.21428571428571427,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0
20,0.07692307692307693,0.08,0.21428571428571427,0.0,0.16666666666666666,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.15384615384615385,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
19,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
